Designer,Category,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
theia,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
cinzia rocca,Contemporary,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hunter,Contemporary,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
nicholas kirkwood,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
mother denim,Contemporary,12,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
rag & bone/jean,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
hunter boot,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
kotur,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
giambattista valli,Luxury,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
j. mendel,Luxury,12,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
lanvin,Luxury,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
maison martin margiela,Luxury,12,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
marchesa couture,Luxury,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
balmain,Luxury,12,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
mary katrantzou,Premium,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
mugler,Premium,12,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
naeem khan,Premium,12,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1
rick owens,Premium,12,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
rochas,Premium,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
roland mouret,Premium,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
sofia cashmere,Premium,12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
charlotte olympia,Premium,12,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
alexandre birman,Premium,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
casadei,Premium,12,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
reed krakoff,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
10 crosby derek lam,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
amanda uprichard,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
camilla,Contemporary,11,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
mara hoffman,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
ramy brook,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
splits59,Contemporary,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fuzzi,Contemporary,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
paige denim,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
xirena,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0
elizabeth & james,Contemporary,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
longchamp,Contemporary,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
balenciaga,Luxury,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
altuzarra,Premium,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
tabitha simmons,Premium,11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
acne,Contemporary,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adam lippes,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1
belstaff,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
talbot runhof,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
alexis,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
faith connexion,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
j brand,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
l'agence,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1
versace collection,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
zac zac posen,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
joe's jeans,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
sophia webster,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
sophie hulme,Contemporary,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
saint laurent,Luxury,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
the row,Luxury,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
tom ford,Luxury,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
marni,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
burberry brit,Premium,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
aquazzura,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
gianvito rossi,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
paul andrew,Premium,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
acne studios,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
christian siriano,Contemporary,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
